id,numpos,bytes,fen,dtm
KRBKBN,5644742400,2308627150,B7/8/8/4b3/8/1R6/3kn3/K7 w - - ,223
KRBKRN,5644742400,770311165,6n1/8/8/2B1R3/r1K5/8/8/2k5 w - - ,135
KRBKQN,5644742400,2363327753,8/6q1/8/1n6/1K6/8/8/1kBR4 w - - ,83
KRBKBB,2822371200,627929243,8/8/8/5K2/1R6/8/5b2/kB3b2 w - - ,183
KRBKRB,5644742400,755484469,2R5/8/8/B7/7b/3r4/8/k1K5 w - - ,129
KRBKQB,5644742400,2325058172,8/8/5B2/6q1/3K4/8/5R2/k5b1 w - - ,63
KRBKRR,2822371200,233809037,5r2/8/7B/5R2/r7/4K3/8/2k5 w - - ,133
KRBKQR,5644742400,1608172859,8/4R3/8/8/5B2/3q4/2K4r/k7 w - - ,129
KRBKQQ,2822371200,935589486,1q6/8/8/8/3B4/2R1q3/8/k1K5 w - - ,41
KQQQBK,737766177,25573394,2QQ4/2Q5/3B4/2K5/8/8/8/3k4 w - - ,7
KQQBKN,2434987407,229669163,3Q4/8/2Q5/8/1n1B4/3k4/K7/8 w - - ,31
KQQBKB,2434987407,237549181,3Q4/8/8/8/8/2b5/Q1B5/K1k5 w - - ,27
KQQBKR,2434987407,262990076,8/8/8/8/8/1Q6/2Q5/k2B1rK1 w - - ,83
KQQBKQ,2434987407,320380380,6Q1/8/5B2/8/8/8/3k4/QK1q4 w - - ,79
KQBKNN,2677137390,737720884,3B3K/5n2/8/8/3n4/8/3k4/1Q6 w - - ,137
KQBKBN,5354274780,1421095089,8/8/8/8/3b4/1Q6/3kn3/K2B4 w - - ,105
KQBKRN,5354274780,1802101996,1n2Q3/8/2K5/8/8/8/2rB4/3k4 w - - ,137
KQBKQN,5354274780,850043552,Q7/8/7q/8/2B5/3K4/n7/2k5 w - - ,83
KQBKBB,2677137390,704019655,8/1Q6/8/8/2bb4/3B4/3k4/K7 w - - ,161
KQBKRB,5354274780,1809439785,8/b7/6Q1/8/8/5B2/3k4/K1r5 w - - ,143
KQBKQB,5354274780,861757330,7q/1B5b/8/8/7Q/3k4/8/3K4 w - - ,115
KQBKRR,2677137390,1085333128,4r3/1Q6/2B5/8/8/2k5/4rK2/8 w - - ,213
KQBKQR,5354274780,1462116069,q7/r2B4/8/8/8/8/6Q1/k3K3 w - - ,97
KQBKQQ,2677137390,655631976,8/8/7q/8/8/qQ1K4/B7/2k5 w - - ,67
KBKNNN,980475570,315766730,8/8/8/8/8/8/n1K5/knB2n2 w - - ,1
KBKBNN,2941426710,1144713082,8/8/8/8/8/8/b1n4B/knK5 w - - ,5
KBKRNN,2941426710,1160412390,8/8/8/8/8/8/n1K5/knBr4 w - - ,1
KBKQNN,2941426710,862649750,8/8/8/8/8/8/n1K5/knB1q3 w - - ,1
KBKBBN,2941426710,997099956,8/8/8/8/8/8/b6B/knK3b1 w - - ,5
KBKRBN,5882853420,2573114499,8/8/8/8/8/8/b3r3/knK3B1 w - - ,5
KBKQBN,5882853420,2001265961,8/8/8/8/8/8/b3q3/knK3B1 w - - ,5
KBKRRN,2941426710,1195504660,8/8/8/8/8/8/n1K5/k1Brr3 w - - ,1
KBKQRN,5882853420,2038990131,8/8/8/8/8/8/n1K5/k1Brq3 w - - ,1
KBKQQN,2941426710,823055780,8/8/8/8/8/8/n1K5/k1B1qq2 w - - ,1
KBKBBB,980475570,171658043,8/8/8/8/8/8/b6B/k1K1b1b1 w - - ,5
KBKRBB,2941426710,1248278954,8/8/8/8/8/8/b3r3/k1K1b1B1 w - - ,5
KBKQBB,2941426710,948893413,8/8/8/8/8/8/b3q3/k1K1b1B1 w - - ,5
KBKRRB,2941426710,1150107706,8/8/8/8/8/r7/b3r3/k1K3B1 w - - ,5
KBKQRB,5882853420,1931623509,8/8/8/8/8/5q2/b3r3/k1K3B1 w - - ,5
KBKQQB,2941426710,767188436,8/8/8/8/8/5q2/b3q3/k1K3B1 w - - ,5
KBKRRR,980475570,277510431,,
KBKQRR,2941426710,742238585,,
KBKQQR,2941426710,613403226,,
KBKQQQ,980475570,139352227,,
KRRRRK,203472729,6556798,R7/R7/R7/R7/K7/8/8/2k5 w - - ,7
